id	character	keyword	frame	reviewed
rtk180	灰	ashes	180	no
rtk181	点	spot	181	yes
rtk182	照	illuminate	182	yes
rtk183	魚	fish	183	no
rtk184	漁	fishing	184	yes
rtk185	里	ri	185	no
rtk186	黒	black	186	no
rtk187	墨	black ink	187	yes
rtk188	鯉	carp	188	yes
rtk189	量	quantity	189	yes
rtk190	厘	rin	190	no
rtk191	埋	bury	191	no
rtk192	同	same	192	no
rtk193	洞	den	193	yes
rtk194	胴	trunk	194	yes
rtk195	向	yonder	195	no
rtk196	尚	esteem	196	no
rtk197	字	character	197	yes
rtk198	守	guard	198	yes
rtk199	完	perfect	199	yes
rtk200	宣	proclaim	200	yes
rtk201	宵	wee hours	201	yes
rtk202	安	relax	202	yes
rtk203	宴	banquet	203	yes
rtk204	寄	draw near	204	yes
rtk205	富	wealth	205	yes
rtk206	貯	savings	206	yes
rtk207	木	tree	207	no
rtk208	林	grove	208	no
rtk209	森	forest	209	no
rtk210	桂	japanese judas-tree	210	no
rtk211	柏	oak	211	no
rtk212	枠	frame	212	no
rtk213	梢	treetops	213	no
rtk214	棚	shelf	214	yes
rtk215	杏	apricot	215	no
rtk216	桐	paulownia	216	yes
rtk217	植	plant	217	no
rtk218	椅	chair	218	no
rtk219	枯	wither	219	yes
rtk220	朴	crude	220	no
rtk221	村	town	221	no
rtk222	相	inter-	222	no
rtk223	机	desk	223	no
rtk224	本	book	224	no
rtk225	札	tag	225	no
rtk226	暦	calendar	226	no
rtk227	案	plan	227	yes
rtk228	燥	parch	228	no
rtk229	未	not yet	229	yes
rtk230	末	extremity	230	yes
rtk231	昧	obscure	231	yes
rtk232	沫	splash	232	yes
rtk233	味	flavor	233	yes
rtk234	妹	younger sister	234	yes
rtk235	朱	vermilion	235	yes
rtk236	株	stocks	236	no
rtk237	若	young	237	no
rtk238	草	grass	238	no
rtk239	苦	suffering	239	yes
rtk240	苛	bullying	240	no
rtk241	寛	tolerant	241	yes
rtk242	薄	dilute	242	no
rtk243	葉	leaf	243	no
rtk244	模	imitation	244	no
rtk245	漠	vague	245	no
rtk246	墓	grave	246	no
rtk247	暮	livelihood	247	no
rtk248	膜	membrane	248	no
rtk249	苗	seedling	249	no
rtk250	兆	portent	250	no
rtk251	桃	peach tree	251	no
rtk252	眺	stare	252	no
rtk253	犬	dog	253	no
rtk254	状	status quo	254	no
rtk255	黙	silence	255	no
rtk256	然	sort of thing	256	no
rtk257	荻	reed	257	yes
rtk258	狩	hunt	258	yes
rtk259	猫	cat	259	yes
rtk260	牛	cow	260	no
rtk261	特	special	261	no
rtk262	告	revelation	262	yes
rtk263	先	before	263	no
rtk264	洗	wash	264	no
rtk265	介	jammed in	265	no
rtk266	界	world	266	no
rtk267	茶	tea	267	no
rtk268	脊	spinal column	268	no
rtk269	合	fit	269	no
rtk270	塔	pagoda	270	no
rtk271	王	king	271	no
rtk272	玉	jewel	272	no
rtk273	宝	treasure	273	yes
rtk274	珠	pearl	274	yes
rtk275	現	present	275	no
rtk276	玩	toy	276	no
rtk277	狂	lunatic	277	yes
rtk278	旺	effulgent	278	no
rtk279	皇	emperor	279	no
rtk280	呈	display	280	no
rtk281	全	whole	281	no
rtk282	栓	plug	282	no
rtk283	理	logic	283	no
rtk284	主	lord	284	no
rtk285	注	pour	285	no
rtk286	柱	pillar	286	no
rtk287	金	gold	287	yes
rtk288	銑	pig iron	288	no
rtk289	鉢	bowl	289	no
rtk290	銅	copper	290	no
rtk291	釣	angling	291	no
rtk292	針	needle	292	no
rtk293	銘	inscription	293	no
rtk294	鎮	tranquillize	294	yes
rtk295	道	road-way	295	yes
rtk296	導	guidance	296	yes
rtk297	辻	crossing	297	no
rtk298	迅	swift	298	no
rtk299	造	create	299	no
rtk300	迫	urge	300	no
rtk301	逃	escape	301	no
rtk302	辺	environs	302	no
rtk303	巡	patrol	303	no
rtk304	車	car	304	no
rtk305	連	take along	305	no
rtk306	軌	rut	306	no
rtk307	輸	transport	307	yes
rtk308	喩	metaphor	308	yes
rtk309	前	in front	309	yes
rtk310	煎	roast	310	yes
rtk311	各	each	311	yes
rtk312	格	status	312	no
rtk313	賂	graft	313	yes
rtk314	略	abbreviation	314	no
rtk315	客	guest	315	yes
rtk316	額	forehead	316	yes
rtk317	夏	summer	317	no
rtk318	処	dispose	318	yes
rtk319	条	twig	319	yes
rtk320	落	fall	320	yes
rtk321	冗	superfluous	321	no
rtk322	冥	hades	322	no
rtk323	軍	army	323	no
rtk324	輝	radiance	324	no
rtk325	運	carry	325	no
rtk326	冠	crown	326	no
rtk327	夢	dream	327	yes
rtk328	坑	pit	328	no
rtk329	高	tall	329	no
